angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.18,,"[263, 69, 75, 95]",,0.0,,0.02,,0.02,,0.65,,0.12,,0.0,
0.67,,"[264, 69, 76, 96]",,0.0,,0.05,,0.06,,0.06,,0.14,,0.01,
0.68,,"[266, 69, 76, 96]",,0.0,,0.05,,0.06,,0.08,,0.12,,0.01,
0.49,,"[267, 70, 75, 97]",,0.0,,0.04,,0.1,,0.15,,0.21,,0.01,
0.55,,"[265, 70, 80, 103]",,0.0,,0.04,,0.11,,0.18,,0.11,,0.0,
0.03,,"[267, 72, 74, 96]",,0.0,,0.01,,0.05,,0.86,,0.05,,0.0,
0.19,,"[264, 72, 77, 99]",,0.0,,0.03,,0.04,,0.6,,0.14,,0.0,
0.25,,"[265, 71, 76, 101]",,0.0,,0.03,,0.2,,0.39,,0.12,,0.01,
0.22,,"[261, 70, 80, 106]",,0.0,,0.07,,0.24,,0.2,,0.26,,0.02,
0.17,,"[261, 71, 78, 104]",,0.0,,0.06,,0.23,,0.16,,0.34,,0.04,
0.1,,"[259, 71, 80, 106]",,0.0,,0.02,,0.79,,0.03,,0.06,,0.01,
0.45,,"[256, 72, 81, 105]",,0.0,,0.05,,0.31,,0.06,,0.13,,0.0,
0.4,,"[255, 72, 80, 106]",,0.0,,0.06,,0.24,,0.14,,0.17,,0.0,
0.41,,"[253, 73, 79, 104]",,0.0,,0.03,,0.38,,0.08,,0.1,,0.0,
0.36,,"[252, 72, 79, 106]",,0.0,,0.04,,0.29,,0.17,,0.14,,0.0,
0.55,,"[250, 72, 81, 106]",,0.0,,0.05,,0.12,,0.15,,0.13,,0.0,
0.28,,"[251, 72, 78, 104]",,0.0,,0.04,,0.04,,0.44,,0.19,,0.0,
0.26,,"[251, 72, 76, 103]",,0.0,,0.05,,0.05,,0.38,,0.26,,0.0,
0.21,,"[251, 73, 78, 104]",,0.0,,0.04,,0.04,,0.49,,0.22,,0.0,
0.19,,"[251, 72, 78, 104]",,0.0,,0.03,,0.05,,0.52,,0.21,,0.0,
0.18,,"[251, 73, 79, 104]",,0.0,,0.04,,0.08,,0.42,,0.27,,0.0,
0.22,,"[251, 73, 79, 105]",,0.0,,0.05,,0.14,,0.36,,0.24,,0.0,
